customer_id,customer_name,segment,region,account_created
CUST1085,Customer 1085,Enterprise,East,2021-05-04
CUST1086,Customer 1086,Enterprise,South,2020-06-26
CUST1087,Customer 1087,Individual,West,2021-12-24
CUST1088,Customer 1088,Education,West,2021-02-14
CUST1089,Customer 1089,Enterprise,North,2020-07-03
CUST1090,Customer 1090,Individual,Central,2021-12-13
CUST1091,Customer 1091,Individual,East,2021-04-08
CUST1092,Customer 1092,Small Business,West,2022-04-07
CUST1093,Customer 1093,Enterprise,East,2020-12-24
CUST1094,Customer 1094,Education,Central,2020-08-06
CUST1095,Customer 1095,Enterprise,Central,2021-08-25
CUST1096,Customer 1096,Individual,North,2022-11-17
CUST1097,Customer 1097,Individual,Central,2021-05-27
CUST1098,Customer 1098,Education,West,2022-09-17
CUST1099,Customer 1099,Small Business,East,2022-07-28
CUST1100,Customer 1100,Education,Central,2020-02-26
CUST1101,Customer 1101,Education,North,2021-06-12
CUST1102,Customer 1102,Enterprise,West,2021-03-27
CUST1103,Customer 1103,Small Business,East,2022-04-24
CUST1104,Customer 1104,Individual,Central,2020-01-20
CUST1105,Customer 1105,Individual,South,2021-08-11
CUST1106,Customer 1106,Enterprise,West,2021-12-01
CUST1107,Customer 1107,Enterprise,Central,2020-12-31
CUST1108,Customer 1108,Education,East,2021-12-25
CUST1109,Customer 1109,Small Business,Central,2021-07-05
CUST1110,Customer 1110,Small Business,South,2022-10-18
CUST1111,Customer 1111,Small Business,South,2021-05-10
CUST1112,Customer 1112,Individual,South,2021-04-14
CUST1113,Customer 1113,Small Business,South,2021-12-30
CUST1114,Customer 1114,Small Business,North,2020-09-02
CUST1115,Customer 1115,Enterprise,West,2020-01-14
CUST1116,Customer 1116,Enterprise,West,2022-01-30
CUST1117,Customer 1117,Individual,West,2021-07-16
CUST1118,Customer 1118,Education,South,2022-11-12
CUST1119,Customer 1119,Individual,West,2021-03-30
CUST1120,Customer 1120,Small Business,North,2022-12-12
CUST1121,Customer 1121,Education,West,2020-03-07
CUST1122,Customer 1122,Individual,West,2020-12-23
CUST1123,Customer 1123,Education,North,2022-11-27
CUST1124,Customer 1124,Education,East,2020-01-18
CUST1125,Customer 1125,Enterprise,South,2022-02-16
CUST1126,Customer 1126,Enterprise,East,2022-01-10
CUST1127,Customer 1127,Individual,South,2021-06-22
CUST1128,Customer 1128,Small Business,East,2022-08-23
CUST1129,Customer 1129,Individual,East,2021-01-11
CUST1130,Customer 1130,Education,West,2021-03-07
CUST1131,Customer 1131,Education,East,2022-01-17
CUST1132,Customer 1132,Education,East,2022-07-12
CUST1133,Customer 1133,Small Business,Central,2020-09-25
CUST1134,Customer 1134,Small Business,North,2021-07-06
CUST1135,Customer 1135,Small Business,Central,2022-06-04
CUST1136,Customer 1136,Education,South,2020-10-25
CUST1137,Customer 1137,Small Business,West,2020-01-20
CUST1138,Customer 1138,Small Business,West,2022-10-20
CUST1139,Customer 1139,Small Business,Central,2022-12-29
CUST1140,Customer 1140,Individual,West,2021-09-06
CUST1141,Customer 1141,Individual,Central,2020-04-07
CUST1142,Customer 1142,Education,North,2020-11-30
CUST1143,Customer 1143,Enterprise,South,2021-06-04
CUST1144,Customer 1144,Education,North,2022-07-10
CUST1145,Customer 1145,Individual,East,2022-01-09
CUST1146,Customer 1146,Individual,Central,2021-06-11
CUST1147,Customer 1147,Individual,North,2022-04-23
CUST1148,Customer 1148,Enterprise,East,2021-02-11
CUST1149,Customer 1149,Small Business,East,2021-12-28
CUST1150,Customer 1150,Individual,Central,2022-09-25
CUST1151,Customer 1151,Education,North,2022-02-19
CUST1152,Customer 1152,Individual,West,2020-10-23
CUST1153,Customer 1153,Small Business,East,2022-05-13
CUST1154,Customer 1154,Education,North,2020-06-11
CUST1155,Customer 1155,Small Business,East,2021-04-12
CUST1156,Customer 1156,Individual,East,2021-08-19
CUST1157,Customer 1157,Individual,Central,2022-03-20
CUST1158,Customer 1158,Individual,West,2022-01-13
CUST1159,Customer 1159,Education,West,2020-12-08
CUST1160,Customer 1160,Small Business,North,2020-09-13
CUST1161,Customer 1161,Small Business,East,2020-06-12
CUST1162,Customer 1162,Small Business,South,2022-03-24
CUST1163,Customer 1163,Enterprise,North,2020-05-10
CUST1164,Customer 1164,Education,Central,2020-04-20
CUST1165,Customer 1165,Enterprise,West,2022-12-09
CUST1166,Customer 1166,Enterprise,North,2021-06-21
CUST1167,Customer 1167,Small Business,North,2022-03-09
CUST1168,Customer 1168,Individual,South,2021-05-21
CUST1169,Customer 1169,Individual,West,2020-09-15
CUST1170,Customer 1170,Small Business,Central,2020-12-15
CUST1171,Customer 1171,Enterprise,North,2021-12-31
CUST1172,Customer 1172,Individual,West,2022-08-14
CUST1173,Customer 1173,Individual,Central,2022-06-30
CUST1174,Customer 1174,Small Business,Central,2020-12-28
CUST1175,Customer 1175,Education,Central,2022-06-09
CUST1176,Customer 1176,Individual,East,2022-09-13
CUST1177,Customer 1177,Small Business,North,2022-06-23
CUST1178,Customer 1178,Individual,East,2022-04-24
CUST1179,Customer 1179,Individual,South,2021-09-13
CUST1180,Customer 1180,Enterprise,North,2022-12-07
CUST1181,Customer 1181,Small Business,East,2021-08-10
CUST1182,Customer 1182,Education,Central,2020-01-18
CUST1183,Customer 1183,Education,West,2021-09-05
CUST1184,Customer 1184,Enterprise,West,2021-08-22
CUST1185,Customer 1185,Small Business,North,2022-02-04
CUST1186,Customer 1186,Small Business,West,2022-06-14
CUST1187,Customer 1187,Education,South,2020-11-30
CUST1188,Customer 1188,Education,West,2021-03-27
CUST1189,Customer 1189,Individual,North,2022-05-14
CUST1190,Customer 1190,Small Business,Central,2021-07-10
CUST1191,Customer 1191,Individual,Central,2021-07-04
CUST1192,Customer 1192,Education,South,2020-05-20
CUST1193,Customer 1193,Small Business,South,2021-08-16
CUST1194,Customer 1194,Enterprise,West,2022-07-16
CUST1195,Customer 1195,Individual,Central,2022-10-04
CUST1196,Customer 1196,Small Business,East,2020-02-09
CUST1197,Customer 1197,Small Business,North,2022-12-31
CUST1198,Customer 1198,Enterprise,South,2020-07-28
CUST1199,Customer 1199,Individual,East,2020-09-13
CUST1200,Customer 1200,Education,North,2021-04-21
CUST1201,Customer 1201,Enterprise,South,2020-01-31
CUST1202,Customer 1202,Education,South,2021-12-01
CUST1203,Customer 1203,Education,East,2022-10-17
CUST1204,Customer 1204,Individual,West,2020-03-05
CUST1205,Customer 1205,Individual,North,2020-10-26
CUST1206,Customer 1206,Enterprise,East,2022-03-14
CUST1207,Customer 1207,Enterprise,Central,2022-08-20
CUST1208,Customer 1208,Small Business,South,2021-05-27
CUST1209,Customer 1209,Education,North,2020-09-06
CUST1210,Customer 1210,Small Business,West,2022-06-26
CUST1211,Customer 1211,Small Business,North,2021-02-11
CUST1212,Customer 1212,Education,North,2022-12-03
CUST1213,Customer 1213,Small Business,West,2022-03-07
CUST1214,Customer 1214,Individual,East,2020-11-20
CUST1215,Customer 1215,Enterprise,Central,2022-12-02
CUST1216,Customer 1216,Enterprise,East,2022-09-12
CUST1217,Customer 1217,Individual,South,2022-01-08
CUST1218,Customer 1218,Enterprise,South,2020-08-19
CUST1219,Customer 1219,Small Business,West,2021-10-26
CUST1220,Customer 1220,Enterprise,South,2021-07-19
CUST1221,Customer 1221,Enterprise,West,2021-05-12
CUST1222,Customer 1222,Enterprise,North,2022-08-31
CUST1223,Customer 1223,Small Business,East,2020-07-02
CUST1224,Customer 1224,Small Business,South,2022-10-20
CUST1225,Customer 1225,Enterprise,Central,2021-11-24
CUST1226,Customer 1226,Enterprise,North,2021-12-29
CUST1227,Customer 1227,Small Business,Central,2020-08-07
CUST1228,Customer 1228,Small Business,West,2021-04-21
CUST1229,Customer 1229,Individual,Central,2021-12-12
CUST1230,Customer 1230,Education,South,2020-02-13
CUST1231,Customer 1231,Education,East,2020-10-02
CUST1232,Customer 1232,Individual,North,2022-09-20
CUST1233,Customer 1233,Education,Central,2021-08-26
CUST1234,Customer 1234,Education,South,2021-01-17
CUST1235,Customer 1235,Individual,East,2022-08-17
CUST1236,Customer 1236,Individual,Central,2020-11-24
CUST1237,Customer 1237,Enterprise,Central,2020-11-13
CUST1238,Customer 1238,Education,East,2021-06-23
CUST1239,Customer 1239,Individual,West,2020-01-02
CUST1240,Customer 1240,Education,South,2020-02-08
CUST1241,Customer 1241,Individual,Central,2021-05-04
CUST1242,Customer 1242,Individual,North,2022-03-04
CUST1243,Customer 1243,Small Business,Central,2022-10-15
CUST1244,Customer 1244,Small Business,Central,2021-08-02
CUST1245,Customer 1245,Individual,West,2021-10-21
CUST1246,Customer 1246,Enterprise,North,2022-12-07
CUST1247,Customer 1247,Enterprise,North,2020-09-22
CUST1248,Customer 1248,Small Business,North,2021-02-17
CUST1249,Customer 1249,Enterprise,West,2021-01-27
CUST1250,Customer 1250,Enterprise,North,2022-03-06
CUST1251,Customer 1251,Education,Central,2021-06-08
CUST1252,Customer 1252,Enterprise,East,2021-03-28
CUST1253,Customer 1253,Enterprise,North,2021-03-03
CUST1254,Customer 1254,Education,North,2022-08-16
CUST1255,Customer 1255,Enterprise,East,2022-05-01
CUST1256,Customer 1256,Individual,North,2021-06-28
CUST1257,Customer 1257,Enterprise,North,2021-09-14
CUST1258,Customer 1258,Enterprise,South,2022-11-29
CUST1259,Customer 1259,Enterprise,North,2021-04-18
CUST1260,Customer 1260,Education,South,2021-01-30
CUST1261,Customer 1261,Small Business,Central,2021-01-01
CUST1262,Customer 1262,Education,North,2022-01-03
CUST1263,Customer 1263,Education,West,2020-08-01
CUST1264,Customer 1264,Small Business,South,2022-04-02
CUST1265,Customer 1265,Individual,South,2022-12-29
CUST1266,Customer 1266,Education,East,2021-10-07
CUST1267,Customer 1267,Individual,East,2022-04-24
CUST1268,Customer 1268,Education,East,2021-05-07
CUST1269,Customer 1269,Small Business,West,2021-06-04
CUST1270,Customer 1270,Individual,West,2022-07-05
CUST1271,Customer 1271,Education,North,2020-03-11
CUST1272,Customer 1272,Individual,Central,2020-02-03
CUST1273,Customer 1273,Small Business,East,2020-01-14
CUST1274,Customer 1274,Individual,South,2021-03-15
CUST1275,Customer 1275,Individual,North,2021-07-19
CUST1276,Customer 1276,Small Business,North,2020-03-18
CUST1277,Customer 1277,Education,East,2020-11-15
CUST1278,Customer 1278,Small Business,East,2022-01-21
CUST1279,Customer 1279,Small Business,South,2021-06-08
CUST1280,Customer 1280,Individual,North,2022-03-29
CUST1281,Customer 1281,Small Business,North,2021-10-26
CUST1282,Customer 1282,Education,South,2022-09-26
CUST1283,Customer 1283,Enterprise,Central,2021-09-07
CUST1284,Customer 1284,Enterprise,Central,2022-02-20
CUST1285,Customer 1285,Enterprise,North,2021-11-15
CUST1286,Customer 1286,Individual,West,2022-05-03
CUST1287,Customer 1287,Enterprise,South,2020-01-24
CUST1288,Customer 1288,Education,North,2021-09-16
CUST1289,Customer 1289,Enterprise,East,2020-11-02
CUST1290,Customer 1290,Individual,Central,2021-03-28
CUST1291,Customer 1291,Small Business,North,2022-03-15
CUST1292,Customer 1292,Education,Central,2022-10-30
CUST1293,Customer 1293,Enterprise,South,2022-06-03
CUST1294,Customer 1294,Individual,West,2020-10-30
CUST1295,Customer 1295,Small Business,East,2020-06-18
CUST1296,Customer 1296,Education,Central,2020-04-10
CUST1297,Customer 1297,Education,East,2020-06-23
CUST1298,Customer 1298,Education,Central,2022-06-08
CUST1299,Customer 1299,Small Business,South,2022-09-11
CUST1300,Customer 1300,Small Business,West,2022-03-20
CUST1301,Customer 1301,Small Business,Central,2022-12-09
CUST1302,Customer 1302,Small Business,South,2020-05-26
CUST1303,Customer 1303,Individual,West,2021-10-24
CUST1304,Customer 1304,Enterprise,North,2022-04-27
CUST1305,Customer 1305,Education,East,2021-12-14
CUST1306,Customer 1306,Small Business,East,2021-12-06
CUST1307,Customer 1307,Enterprise,East,2020-12-12
CUST1308,Customer 1308,Individual,Central,2022-06-24
CUST1309,Customer 1309,Small Business,West,2020-04-01
CUST1310,Customer 1310,Small Business,South,2022-02-04
CUST1311,Customer 1311,Small Business,North,2020-08-18
CUST1312,Customer 1312,Enterprise,South,2020-10-29
CUST1313,Customer 1313,Individual,North,2021-12-04
CUST1314,Customer 1314,Enterprise,East,2022-07-10
CUST1315,Customer 1315,Education,North,2021-11-10
CUST1316,Customer 1316,Small Business,Central,2021-03-09
CUST1317,Customer 1317,Small Business,Central,2022-12-07
CUST1318,Customer 1318,Individual,Central,2022-09-16
CUST1319,Customer 1319,Small Business,North,2022-02-10
CUST1320,Customer 1320,Enterprise,East,2020-12-14
CUST1321,Customer 1321,Enterprise,East,2021-02-15
CUST1322,Customer 1322,Individual,North,2022-08-10
CUST1323,Customer 1323,Enterprise,North,2022-03-06
CUST1324,Customer 1324,Individual,East,2020-08-08
CUST1325,Customer 1325,Enterprise,East,2022-03-02
CUST1326,Customer 1326,Small Business,West,2022-11-07
CUST1327,Customer 1327,Enterprise,East,2022-09-19
CUST1328,Customer 1328,Enterprise,South,2021-02-11
CUST1329,Customer 1329,Education,Central,2020-02-14
CUST1330,Customer 1330,Enterprise,South,2022-12-20
CUST1331,Customer 1331,Individual,East,2022-09-30
CUST1332,Customer 1332,Education,South,2020-02-07
CUST1333,Customer 1333,Individual,East,2021-12-28
CUST1334,Customer 1334,Individual,South,2022-10-23
CUST1335,Customer 1335,Individual,North,2021-06-11
CUST1336,Customer 1336,Education,North,2021-07-27
CUST1337,Customer 1337,Small Business,South,2021-11-30
CUST1338,Customer 1338,Education,South,2020-06-28
CUST1339,Customer 1339,Education,Central,2021-04-10
CUST1340,Customer 1340,Education,South,2020-11-08
CUST1341,Customer 1341,Education,East,2021-11-05
CUST1342,Customer 1342,Education,Central,2020-09-26
CUST1343,Customer 1343,Small Business,South,2021-02-18
CUST1344,Customer 1344,Small Business,East,2022-12-08
CUST1345,Customer 1345,Small Business,West,2020-10-24
CUST1346,Customer 1346,Small Business,East,2020-05-18
CUST1347,Customer 1347,Enterprise,South,2021-10-12
CUST1348,Customer 1348,Small Business,North,2021-10-14
CUST1349,Customer 1349,Education,West,2021-09-13
CUST1350,Customer 1350,Education,East,2020-11-07
CUST1351,Customer 1351,Small Business,North,2020-09-26
CUST1352,Customer 1352,Small Business,North,2021-06-30
CUST1353,Customer 1353,Small Business,Central,2021-04-20
CUST1354,Customer 1354,Small Business,North,2022-01-05
CUST1355,Customer 1355,Enterprise,West,2020-10-01
CUST1356,Customer 1356,Education,East,2021-01-11
CUST1357,Customer 1357,Education,West,2022-08-28
CUST1358,Customer 1358,Small Business,South,2021-01-30
CUST1359,Customer 1359,Small Business,North,2022-04-16
CUST1360,Customer 1360,Enterprise,East,2022-04-25
CUST1361,Customer 1361,Small Business,South,2021-02-22
CUST1362,Customer 1362,Enterprise,South,2022-06-18
CUST1363,Customer 1363,Education,East,2022-07-26
CUST1364,Customer 1364,Small Business,West,2022-04-09
CUST1365,Customer 1365,Enterprise,Central,2022-02-18
CUST1366,Customer 1366,Individual,West,2022-12-11
CUST1367,Customer 1367,Enterprise,Central,2020-08-11
CUST1368,Customer 1368,Education,West,2020-03-27
CUST1369,Customer 1369,Small Business,Central,2022-03-21
CUST1370,Customer 1370,Enterprise,Central,2022-03-04
CUST1371,Customer 1371,Enterprise,South,2021-08-19
CUST1372,Customer 1372,Education,West,2021-09-15
CUST1373,Customer 1373,Individual,West,2020-12-06
CUST1374,Customer 1374,Education,East,2020-04-21
CUST1375,Customer 1375,Small Business,West,2022-07-14
CUST1376,Customer 1376,Enterprise,Central,2020-08-19
CUST1377,Customer 1377,Small Business,Central,2020-10-04
CUST1378,Customer 1378,Education,West,2021-10-24
CUST1379,Customer 1379,Education,North,2021-01-01
CUST1380,Customer 1380,Education,Central,2021-02-17
CUST1381,Customer 1381,Education,North,2021-05-27
CUST1382,Customer 1382,Individual,South,2020-09-10
CUST1383,Customer 1383,Enterprise,North,2022-07-09
CUST1384,Customer 1384,Individual,North,2022-12-08
CUST1385,Customer 1385,Education,Central,2020-11-23
CUST1386,Customer 1386,Education,Central,2022-02-18
CUST1387,Customer 1387,Enterprise,South,2021-11-17
CUST1388,Customer 1388,Small Business,South,2020-10-23
CUST1389,Customer 1389,Small Business,North,2022-05-09
CUST1390,Customer 1390,Individual,East,2022-07-02
CUST1391,Customer 1391,Individual,South,2020-08-28
CUST1392,Customer 1392,Small Business,South,2020-01-08
CUST1393,Customer 1393,Individual,North,2022-07-28
CUST1394,Customer 1394,Education,West,2020-01-12
CUST1395,Customer 1395,Education,South,2021-03-20
CUST1396,Customer 1396,Education,West,2022-04-19
CUST1397,Customer 1397,Education,North,2020-01-14
CUST1398,Customer 1398,Small Business,Central,2021-07-23
CUST1399,Customer 1399,Small Business,North,2021-01-13
CUST1400,Customer 1400,Small Business,North,2021-12-15
CUST1401,Customer 1401,Enterprise,South,2020-03-07
CUST1402,Customer 1402,Individual,East,2020-06-28
CUST1403,Customer 1403,Enterprise,North,2022-05-03
CUST1404,Customer 1404,Small Business,South,2021-08-05
CUST1405,Customer 1405,Small Business,West,2022-01-07
CUST1406,Customer 1406,Enterprise,North,2021-09-04
CUST1407,Customer 1407,Individual,East,2022-02-15
CUST1408,Customer 1408,Enterprise,West,2020-05-12
CUST1409,Customer 1409,Individual,West,2020-10-02
CUST1410,Customer 1410,Enterprise,East,2021-11-05
CUST1411,Customer 1411,Education,Central,2021-03-05
CUST1412,Customer 1412,Small Business,Central,2020-04-29
CUST1413,Customer 1413,Enterprise,Central,2022-12-19
CUST1414,Customer 1414,Enterprise,West,2021-08-11
CUST1415,Customer 1415,Education,Central,2021-10-10
CUST1416,Customer 1416,Individual,Central,2021-12-25
CUST1417,Customer 1417,Small Business,Central,2022-10-13
CUST1418,Customer 1418,Education,West,2021-01-03
CUST1419,Customer 1419,Small Business,East,2021-01-31
CUST1420,Customer 1420,Enterprise,North,2020-02-19
CUST1421,Customer 1421,Education,North,2021-02-28
CUST1422,Customer 1422,Education,West,2020-04-03
CUST1423,Customer 1423,Individual,East,2021-03-10
CUST1424,Customer 1424,Enterprise,South,2021-07-30
CUST1425,Customer 1425,Individual,North,2021-09-22
CUST1426,Customer 1426,Individual,Central,2021-10-25
CUST1427,Customer 1427,Enterprise,North,2021-11-13
CUST1428,Customer 1428,Individual,West,2020-02-29
CUST1429,Customer 1429,Small Business,South,2021-11-07
CUST1430,Customer 1430,Individual,West,2022-08-29
CUST1431,Customer 1431,Enterprise,South,2022-09-13
CUST1432,Customer 1432,Small Business,West,2021-11-17
CUST1433,Customer 1433,Education,West,2020-04-24
CUST1434,Customer 1434,Individual,Central,2021-10-08
CUST1435,Customer 1435,Enterprise,South,2021-11-10
CUST1436,Customer 1436,Individual,North,2020-11-01
CUST1437,Customer 1437,Individual,North,2021-11-25
CUST1438,Customer 1438,Education,Central,2020-12-05
CUST1439,Customer 1439,Education,South,2020-08-27
CUST1440,Customer 1440,Individual,East,2020-03-05
CUST1441,Customer 1441,Individual,West,2020-06-26
CUST1442,Customer 1442,Education,South,2022-01-31
CUST1443,Customer 1443,Education,East,2021-03-18
CUST1444,Customer 1444,Individual,South,2020-08-17
CUST1445,Customer 1445,Individual,North,2021-02-17
CUST1446,Customer 1446,Enterprise,West,2022-11-02
CUST1447,Customer 1447,Enterprise,West,2022-10-21
CUST1448,Customer 1448,Small Business,South,2021-11-27
CUST1449,Customer 1449,Education,Central,2021-09-27
CUST1450,Customer 1450,Individual,South,2020-07-20
CUST1451,Customer 1451,Small Business,South,2020-03-15
CUST1452,Customer 1452,Education,West,2022-12-05
CUST1453,Customer 1453,Enterprise,North,2021-09-28
CUST1454,Customer 1454,Enterprise,Central,2020-06-27
CUST1455,Customer 1455,Individual,West,2020-04-04
CUST1456,Customer 1456,Enterprise,Central,2021-10-01
CUST1457,Customer 1457,Enterprise,Central,2021-10-01
CUST1458,Customer 1458,Small Business,East,2021-02-14
CUST1459,Customer 1459,Small Business,East,2021-07-20
CUST1460,Customer 1460,Individual,West,2020-08-28
CUST1461,Customer 1461,Individual,South,2020-11-18
CUST1462,Customer 1462,Individual,North,2020-02-01
CUST1463,Customer 1463,Enterprise,South,2021-12-18
CUST1464,Customer 1464,Individual,East,2020-10-16
CUST1465,Customer 1465,Individual,Central,2021-05-16
CUST1466,Customer 1466,Small Business,North,2021-09-29
CUST1467,Customer 1467,Individual,Central,2022-06-27
CUST1468,Customer 1468,Enterprise,South,2020-02-29
CUST1469,Customer 1469,Education,North,2020-08-04
CUST1470,Customer 1470,Education,North,2020-06-25
CUST1471,Customer 1471,Education,West,2021-01-01
CUST1472,Customer 1472,Education,Central,2021-12-29
CUST1473,Customer 1473,Individual,East,2021-02-09
CUST1474,Customer 1474,Enterprise,West,2020-09-26
CUST1475,Customer 1475,Enterprise,West,2020-07-18
CUST1476,Customer 1476,Education,East,2022-08-11
CUST1477,Customer 1477,Education,South,2021-04-03
CUST1478,Customer 1478,Small Business,Central,2021-06-12
CUST1479,Customer 1479,Individual,West,2021-01-10
CUST1480,Customer 1480,Individual,East,2022-07-17
CUST1481,Customer 1481,Education,North,2020-05-13
CUST1482,Customer 1482,Education,North,2021-12-20
CUST1483,Customer 1483,Education,West,2020-12-15
CUST1484,Customer 1484,Individual,East,2020-09-17
CUST1485,Customer 1485,Enterprise,West,2020-08-07
CUST1486,Customer 1486,Individual,Central,2020-05-25
CUST1487,Customer 1487,Individual,Central,2022-08-02
CUST1488,Customer 1488,Education,Central,2022-04-26
CUST1489,Customer 1489,Small Business,Central,2021-05-14
CUST1490,Customer 1490,Small Business,West,2022-02-25
CUST1491,Customer 1491,Enterprise,East,2021-03-02
CUST1492,Customer 1492,Education,West,2021-12-01
CUST1493,Customer 1493,Small Business,South,2020-06-08
CUST1494,Customer 1494,Education,North,2022-08-06
CUST1495,Customer 1495,Individual,Central,2020-07-18
CUST1496,Customer 1496,Education,South,2021-09-22
CUST1497,Customer 1497,Education,North,2020-08-10
CUST1498,Customer 1498,Education,East,2022-10-09
CUST1499,Customer 1499,Enterprise,North,2021-03-21
CUST1500,Customer 1500,Small Business,Central,2020-01-01
CUST1501,Customer 1501,Small Business,South,2022-07-16
CUST1502,Customer 1502,Individual,West,2022-07-04
CUST1503,Customer 1503,Small Business,South,2021-10-10
CUST1504,Customer 1504,Individual,Central,2021-09-15
CUST1505,Customer 1505,Education,East,2020-07-01
CUST1506,Customer 1506,Enterprise,Central,2022-11-11
CUST1507,Customer 1507,Education,South,2021-08-25
CUST1508,Customer 1508,Enterprise,East,2020-04-18
CUST1509,Customer 1509,Enterprise,Central,2022-01-05
CUST1510,Customer 1510,Enterprise,East,2020-03-04
CUST1511,Customer 1511,Small Business,West,2022-03-18
CUST1512,Customer 1512,Individual,West,2022-04-11
CUST1513,Customer 1513,Education,West,2021-03-08
CUST1514,Customer 1514,Small Business,West,2020-10-11
CUST1515,Customer 1515,Small Business,Central,2022-02-26
CUST1516,Customer 1516,Individual,West,2020-11-11
CUST1517,Customer 1517,Individual,South,2020-10-02
CUST1518,Customer 1518,Enterprise,North,2020-02-02
CUST1519,Customer 1519,Small Business,West,2022-06-13
CUST1520,Customer 1520,Small Business,North,2020-10-08
CUST1521,Customer 1521,Education,West,2022-05-21
CUST1522,Customer 1522,Small Business,West,2022-11-09
